"Story","Title","Result","Date","Stability","Duration (s)"
"CT04 - Acessar aba das vantagens do cartão Sou Barato","Acessar Aba","SUCCESS","2018-02-01T09:39:23.727-02:00","0.0","20.55"
"CT02 - Adicionar ao carrinho camisa selecao brasileira","Adicionar Camisa","SUCCESS","2018-02-01T09:25:23.799-02:00","0.0","72.61"
"CT02 - Adicionar geladeira Brastemp ao carrinho (via Menu)","Adicionar Geladeira","SUCCESS","2018-02-01T09:37:31.215-02:00","0.0","58.42"
"CT03 - Adicionar Iphone ao carrinho (via campo pesquisa)","Adicionar Iphone","SUCCESS","2018-02-01T09:38:30.249-02:00","0.0","52.72"
"CT04 - Adicionar item ao carrinho e calcular frete atq o CEP da RSI Matriz","Adicionar Item","SUCCESS","2018-02-01T09:28:34.594-02:00","0.0","80.48"
"CT01 - Adicionar ao carrinho um item da seção Produtos Reembalados","Adicionar Produto","SUCCESS","2018-02-01T09:36:22.496-02:00","0.0","67.04"
"CT01 - Adicionar tenis ao carrinho (qualquer um)","Adicionar Tenis","SUCCESS","2018-02-01T09:22:42.430-02:00","0.0","158.22"
"CT05 - Adicionar item no carrinho, Limpar Carrinho e voltar para loja","Adicionar item","SUCCESS","2018-02-01T09:29:56.703-02:00","0.0","104.6"
"CT04 - Buscar Agencia","Buscar Agencia","SUCCESS","2018-01-31T14:51:41.617-02:00","0.0","29.42"
"CT01 - Buscar CEP (por endereço)","Buscar CEP","SUCCESS","2018-01-31T14:50:03.716-02:00","0.0","20.93"
"CT02 - Buscar Endereco (por CEP)","Buscar Endereco","SUCCESS","2018-01-31T14:50:32.267-02:00","0.0","25.5"
"CT05 - Calcular frete de qualquer item ate o CEP da RSI Matriz (Osasco)","Calcular Frete","SUCCESS","2018-02-01T10:30:00.655-02:00","0.0","75.31"
"CT03 - Calcular Preços e prazos - de CEP A a CEP B","Calcular Precos e Prazos","SUCCESS","2018-01-31T14:50:59.150-02:00","0.0","42.0"
"CT05 - Calcular Preços e prazos - RSI Osasco a RSI Alphaville","Calcular Precos e Prazos","SUCCESS","2018-01-31T14:52:11.868-02:00","0.0","29.14"
"CT03 - Comprar ingresso","Comprar ingresso","SUCCESS","2018-02-01T09:09:31.429-02:00","0.0","91.63"
"CT04 - Consultar promoção trajeto Angra dos Reis - Rio de Janeiro","Consultar Promocao","SUCCESS","2018-02-01T09:11:04.831-02:00","0.0","26.25"
"CT02 -  Consultar vôo economico para Bahia","Consultar vôo","SUCCESS","2018-02-01T09:08:33.119-02:00","0.0","57.79"
"CT03 - Escolher um calçado na secao outlet com valor abaixo de 150 reais","Escolher Calcado","SUCCESS","2018-02-01T09:26:37.426-02:00","0.0","115.78"
"CT05 - Reservar hotel 1 estrela São Paulo","Reservar hotel","SUCCESS","2018-02-01T09:11:31.826-02:00","0.0","104.49"
"CT01 - Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel","SUCCESS","2018-02-01T09:07:02.797-02:00","0.0","87.34"
